"Number","skills","Month_Exper"
"719","","204"
"723","","0"
"725","Win32/AIX","0"
"725","Sybase","0"
"725","UML/C++","0"
"725","Java","0"
"725","Java/JSP","0"
"725","Win32","0"
"725","InstallShield6","0"
"725","Linux","0"
"725","MySql","0"
"725","Perl","0"
"725",".NET","0"
"725","C#","0"
"725","C++","0"
"725",".NET Compact Framework","0"
"725","MS SQL Server","0"
"725","VB.NET/C#/UML","0"
"725",".NET/Win32/FreeBSD","0"
"725","UML/C#/-M-C++/ASM/Perl","0"
"725",".NET Remoting","0"
"725","COM","0"
"725","C#/UML","0"
"725","Web Service","0"
"725",".NET Remoting","0"
"725","C/C++/ASM","0"
"726","","247"
"729","","0"
"730","","0"
"731","","0"
"732","","105"
"733","","100"
"735","","24"
"738","","13"
"741","","10"
"743","MS-SQL2000 (2005) VS.Net 98 (2005) Microsoft.Net 1.0 (c#)","84"
"743","ASP.Net","84"
"743","MS-SQL2008 VS.Net 2008","84"
"743","SSMS","84"
"743","SQL Profiler","84"
"743","FireBug Microsoft.Net 2.0 (c#)","84"
"743","ASP.Net","84"
"743","AJAX","84"
"743","FireBug Microsoft.Net 2.0","84"
"743","FireBug Microsoft.Net 3.5","84"
"743","AJAX","84"
"743","MVC Framework","84"
"743","MS-SQL2008 R2 VS.Net 2010","84"
"743","FireBug Microsoft.Net 4","84"
"744","","36"
"747","","0"
"749","","0"
"750","","355"
"751","","16"
"754","","0"
"756","","211"
"758","","128"
"760","","108"
"761","","121"
"762","","0"
"763","Classic ASP + VB6 COM","36"
"763","ASP.Net","36"
"763","JavaScript","36"
"763","Ajax","36"
"763","VB.NET","36"
"763","MSSQL","36"
"763","C#","36"
"763","MSSQL. Accomplishments: OrgChart website developing","36"
"763",".Net Framework","36"
"763","MSSQL","36"
"763","NHibernate.   Accomplishments: Core development","36"
"763","MS SQL 2000","36"
"763",":  C# (Compact Framework)","36"
"763","MS SQL CE","36"
"763","MS SQL CE","36"
"763","C++","36"
"763","VBA   Accomplishments: management","36"
"763","Fuzzy Logic","36"
"763","communication with MSSQL","36"
"763","logic of many functions","36"
"763","ANSI C/C++","36"
"763","for I386/Linux Slackware 9.0 and Sun Solaris 8.0","36"
"764","","0"
"766","","0"
"767","","18"
"768","","0"
"769","","0"
"771","","0"
"772","","12"
"777","","0"
"778","","96"
"780","","117"
"782","","0"
"783","","0"
"784","","122"
"785","","192"
"786","","36"
"789","","88"
"790","","40"
"792","","36"
"793","","101"
"794","","0"
"796","","139"
"797","","252"
"798","","36"
"801","","12"
"802","","0"
"806","","63"
"810","","81"
"814","","47"
"816","","0"
"820","","68"
"823","","12"
"830","","0"
"831","HP Quality Center(former Mercury Quality Center) for QA process management","105"
"831","HP Quick Test Professional(former Mercury QTP) for automated tasks","105"
"831","MS SQL Server 2000","105"
"831","MS Visual Studio 2003","105"
"831","MS Visio","105"
"831","Rational XDE","105"
"834","","84"
"836","","65"
"837","","78"
"839","","36"
"841","","0"
"842","","0"
"844","","83"
"847","","0"
"848","","51"
"850","","41"
"852","","41"
"854","","292"
"856","","271"
"858","","0"
"859","","83"
"860","","50"
"861","","30"
"863","","48"
"864","","172"
"865","","241"
"866","","0"
"867","","34"
"868","","12"
"869","ADO.NET","0"
"869","C#","0"
"869","MS SQL Server 2000/2005","0"
"869","IIS","0"
"869","ASP.NET","0"
"869","MS SQL Server 2000","0"
"869","IIS (Framework v1.1.4322)","0"
"869","Windows forms","0"
"869","Firebird v2.0","0"
"869","Firebird .NET provider (Framework v2.0.50727)","0"
"869","MS SQL Server","0"
"869",".NET Framework v2.0.50727","0"
"869",".NET Framework 3.5","0"
"869","Windows Communication Foundation","0"
"869","MS SQL Server 2008","0"
"869","Windows Server 2008","0"
"872","","95"
"873","","0"
"876","","0"
"878","","0"
"879","","216"
"880","","140"
"884","","0"
"885","","52"
"887","","9"
"889","","0"
"891","","108"
"892","","17"
"895","","0"
"896","","64"
"897","","67"
"898","ASP.NET MVC 3","59"
"898","WCF","59"
"898","SQL Server 2008","59"
"898","Subversion","59"
"898","Jira","59"
"898","TeamCity","59"
"898","NUnit","59"
"898","AppFabric Caching","59"
"899","","144"
"902","","0"
"904","","0"
"911","","163"
"913","","0"
"915","Visual Studio 6. VB6","0"
"915","VBA in MS Access 2000","0"
"915","MS Word and AutoCAD","0"
"915","VBscript","0"
"915","JavaScript","0"
"915","HTML","0"
"915","DHTML and MS SQL server (T-SQL)","0"
"915","Visual Studio 6","0"
"915","2005. C++","0"
"915","VB.Net","0"
"915","ASP.NET","0"
"915","MS SQL 2005 (T-SQL)","0"
"915","C# (VS 2010)","0"
"915","MS SQL","0"
"915","jQuery","0"
"915","VB.NET","0"
"915","ASP","0"
"915","SQL 2005","0"
"915",".NET","0"
"915","SSIS","0"
"915","SQL","0"
"915","C#","0"
"915","WinForms","0"
"915","MS SQL 2008","0"
"915","Power Dinamo and SQL Sybase","0"
"915","Visual Studio 2005.  MS SQL 2005 (T-SQL)","0"
"915","C#","0"
"915","C# (VS 2008)","0"
"915","HTML5","0"
"915","VB6","0"
"915","jQuery","0"
"915","DNN engine","0"
"915","WPF","0"
"915","JavaScript","0"
"916","","208"
"919","","4"
"922","","34"
"923","","119"
"925","","28"
"927","","108"
"928","","88"
"930","","40"
"931","","0"
"932","","99"
"933","","93"
"934","---SVN ---WinCVS ---Jira","58"
"934","Mantis","58"
"934","Bugzilla ---Web applications","58"
"934","Client-Server","58"
"934","Windows 9x/2000/XP/Vista","58"
"934","Delphi","58"
"934","C/C++","58"
"934","JavaScript","58"
"934","Html","58"
"934","Java","58"
"934","MS SQL","58"
"934","Oracle","58"
"934","Postgree","58"
"934","Interbase","58"
"934","Firebird","58"
"938","","118"
"940","","0"
"942","","23"
"944","","64"
"946","","39"
"947","","15"
"948","","0"
"949","","44"
"950","","98"
"951","","41"
"953","","29"
"955","","36"
"956","","20"
"957","","53"
"958","","59"
"962","","264"
"964","","0"
"965","","204"
"967","","58"
"968","","48"
"969","","35"
"970","","28"
"971","","40"
"972","","84"
"975","","0"
"979","","0"
"980","","48"
"982","","129"
"986","","0"
"987","","73"
"988","","25"
"989","","0"
"990","","58"
"992","","84"
"996","","73"
"1000","","1"
"1001","","60"
"1002","","45"
"1006","SWING","12"
"1006","J2EE","12"
"1006","STL","12"
"1006","Boost","12"
"1008","","132"
"1011","","50"
"1014","","84"
"1017","","12"
"1018","","12"
"1023","","0"
"1025","","0"
"1027","","0"
"1030","","130"
"1032","","0"
"1033","","37"
"1035","","0"
"1037","","36"
"1038","","74"
"1040","","0"
"1041","","0"
"1042","","0"
"1046","","0"
"1049","","0"
"1050","","0"
"1051","","0"
"1057","","8"
"1058","","124"
"1060","","12"
"1063","","36"
"1064","","61"
"1065","","261"
"1070","","26"
"1071","","144"
"1072","","24"
"1074","","77"
"1075","","105"
"1077","","70"
"1082","","0"
"1083","","0"
"1084","","0"
"1086","","0"
"1087","","0"
"1088","","0"
"1089","","55"
"1091","","0"
"1094","","72"
"1096","","0"
"1097","","23"
"1100","","0"
"1102","","0"
"1105","","112"
"1106","","60"
"1107","C# - WinForms","0"
"1107","COM Interop","0"
"1107","ADO.Net","0"
"1107","- C++ - low-level","0"
"1107","STL","0"
"1107","Borland","0"
"1107","C++ - Linux","0"
"1107","Adobe SDK","0"
"1107","C#","0"
"1107","Net Framework","0"
"1107","WinForms","0"
"1107","C++","0"
"1107","OOP","0"
"1107","algorithms","0"
"1107","UML","0"
"1107","OOA/OOD","0"
"1107","ASP.NET MVC","0"
"1107","Entity Framework","0"
"1107","SignalR","0"
"1107","JS","0"
"1107","jQuery","0"
"1107","HTML","0"
"1107","CSS","0"
"1107","Bootstrap","0"
"1107","MySQL","0"
"1107","Regular Expressions","0"
"1107","PHP","0"
"1107","CMS","0"
"1107",".NET Framework and C#","0"
"1107",".NET Web Development","0"
"1107","HTML & CSS","0"
"1107","JavaScript Basics","0"
"1107","JavaScript Advanced","0"
"1107","JavaScript Web Frameworks","0"
"1107","C++ Basics","0"
"1107","STL & Qt Libraries","0"
"1109","","0"
"1110","","58"
"1114","","177"
"1115","","60"
"1118","","84"
"1119","","312"
"1122","","0"
"1127","","33"
"1129","","18"
"1131","","0"
"1132","","0"
"1136","","180"
"1137","","0"
"1138","","0"
"1139","","0"
"1140","","121"
"1141","","108"
"1142","","24"
"1143","PHP 4","0"
"1143","MySQL 3.2","0"
"1143","Apache","0"
"1143","FreeBSD","0"
"1143","Java 5","0"
"1143","Eclipse","0"
"1143","Maven","0"
"1143","SVN","0"
"1143","Spring","0"
"1143","Hibernate","0"
"1143","JAXP","0"
"1143","JDOM","0"
